2.950000000000000000e+01 1.116666666666666607e+01
8.950000000000000000e+01 1.476666666666666750e+01
1.495000000000000000e+02 1.575000000000000000e+01
2.095000000000000000e+02 1.400000000000000000e+01
2.695000000000000000e+02 1.328333333333333321e+01
3.295000000000000000e+02 1.330000000000000071e+01
3.895000000000000000e+02 1.419999999999999929e+01
4.495000000000000000e+02 1.668333333333333357e+01
5.095000000000000000e+02 2.169999999999999929e+01
5.695000000000000000e+02 4.568333333333333002e+01
6.295000000000000000e+02 1.796666666666666572e+02
6.895000000000000000e+02 1.995500000000000114e+02
7.495000000000000000e+02 1.916833333333333371e+02
8.095000000000000000e+02 1.789666666666666686e+02
8.695000000000000000e+02 1.906666666666666572e+02
9.295000000000000000e+02 1.864499999999999886e+02
9.895000000000000000e+02 2.000000000000000000e+02
1.049500000000000000e+03 1.998499999999999943e+02
1.109500000000000000e+03 1.915166666666666799e+02
1.169500000000000000e+03 1.920500000000000114e+02
1.229500000000000000e+03 1.749166666666666572e+02
1.289500000000000000e+03 1.862833333333333314e+02
1.349500000000000000e+03 1.572833333333333314e+02
1.409500000000000000e+03 1.893833333333333258e+02
1.469500000000000000e+03 1.994000000000000057e+02
1.529500000000000000e+03 1.841166666666666742e+02
1.589500000000000000e+03 1.985166666666666799e+02
1.649500000000000000e+03 2.000000000000000000e+02
1.709500000000000000e+03 1.997166666666666686e+02
